Name,Class,Race 3 - Qualifying,Race 3 - Pre-final,Race 3 - Final,Race 3 - Fastest Lap,Race 4 - Qualifying,Race 4 - Pre-final,Race 4 - Final,Race 4 - Fastest Lap
Daryle Redlin,Tag Masters,5,4,4,1,4,4,3,
Alan Burnell,Tag Masters,6,5,2,,3,3,2,
Eric Gerloff,Tag Masters,7,23,3,,6,5,4,
Bryan Stauffer,Tag Masters,8,8,20,,10,7,6,
Lucas Lundy,Tag Masters,9,24,6,,11,9,21,
Gary Ochi,Tag Masters,10,7,23,,9,11,7,
Wouter Bauman,Tag Masters,11,9,8,,12,10,8,
John Almond,Tag Masters,12,14,11,,24,15,24,
Braydon Bulger,Tag Masters,13,17,9,,13,22,11,
Matthew Bahen,Tag Masters,14,21,13,,14,13,9,
Todd Martin,Tag Masters,15,11,7,,16,23,23,
Wolfgang Temmel,Tag Masters,16,13,16,,17,17,12,
Rick Payne,Tag Masters,17,10,5,,8,6,5,
Jamie Coles,Tag Masters,18,15,12,,19,24,10,
Brant Gladstone,Tag Masters,19,18,19,,20,16,13,
Ian Dianov,Tag Masters,20,19,15,,0,0,0,
Richard Sebastianelli,Tag Masters,21,20,18,,21,19,16,
David Unickow,Tag Masters,22,22,17,,23,18,15,
Helmut Buhl,Tag Masters,,12,10,,15,14,18,
Aaron Thomas,Tag Masters,,16,14,,18,20,17,
Daniel Jabillo,Tag Masters,,,,,22,21,14,
